training_data,model,auroc,auprc,f1,precision,recall
real_only,xgboost,0.9919151585496471,0.9735508056944313,0.8066659160004503,0.6812476226702168,0.9886834115373999
real_only,random_forest,0.99186372210387,0.9714030018597529,0.9108413562159899,0.9209932279909706,0.9009108473640629
real_only,logistic_regression,0.9803287564433786,0.9255823611351577,0.8344988344988346,0.7511042402826855,0.9387248136903119
synth_copula,xgboost,0.9144314107093383,0.8331336145181836,0.36005640044314635,0.22020326455189407,0.9867513110681756
synth_copula,random_forest,0.9386838650907494,0.8538434158529893,0.20883732411750186,0.9883177570093458,0.116754071211703
synth_copula,logistic_regression,0.948114288010572,0.8582778986528462,0.7382857142857143,0.6299980495416423,0.8915263593706872
synth_ctgan,xgboost,0.951016873049387,0.8615368950913908,0.641234221598878,0.48486990950226244,0.9464532155672095
synth_ctgan,random_forest,0.9566792980201173,0.8653528340227248,0.6227522935779817,0.9288451012588944,0.46839635661054374
synth_ctgan,logistic_regression,0.9582454002560469,0.8651755947017752,0.797521750593198,0.7633106232652032,0.834943417057687
synth_tvae,xgboost,0.9807063741062952,0.9320304237932651,0.818010372465818,0.7138448878831516,0.9577698040298096
synth_tvae,random_forest,0.9777339804910973,0.9126565685873861,0.8388021206476572,0.8721692491060786,0.8078940104885454
synth_tvae,logistic_regression,0.9561483922048952,0.8149195268386336,0.7253259832502915,0.5888123924268502,0.9442451007452387
mixed_copula_x1.0,xgboost,0.9901104394126047,0.9645100448899159,0.7121960861830401,0.5547344110854503,0.9944797129450731
mixed_copula_x1.0,random_forest,0.991629180742997,0.970046190333391,0.9089122807017543,0.9246145059965734,0.8937344741926581
mixed_copula_x1.0,logistic_regression,0.9697804303155944,0.8989080098483155,0.780961291077067,0.6775568181818182,0.9216119238200386
mixed_copula_x2.0,xgboost,0.989786438563494,0.9632901335358739,0.7065856526852214,0.5477890898039811,0.9950317416505658
mixed_copula_x2.0,random_forest,0.9918494531130992,0.9705022578694638,0.9093460566937973,0.9249214958606908,0.8942865028981507
mixed_copula_x2.0,logistic_regression,0.9697311190386553,0.8978694149856514,0.781926723633384,0.6788617886178862,0.921887938172785
mixed_copula_x5.0,xgboost,0.989786438563494,0.9632901335358739,0.7065856526852214,0.5477890898039811,0.9950317416505658
mixed_copula_x5.0,random_forest,0.9918494531130992,0.9705022578694638,0.9093460566937973,0.9249214958606908,0.8942865028981507
mixed_copula_x5.0,logistic_regression,0.9697311190386553,0.8978694149856514,0.781926723633384,0.6788617886178862,0.921887938172785
mixed_ctgan_x1.0,xgboost,0.9897735955518138,0.9621510826546815,0.7417695473251029,0.5912743972445464,0.9950317416505658
mixed_ctgan_x1.0,random_forest,0.9909738467522903,0.9676092106032841,0.9042403819151924,0.9202629322663618,0.8887662158432238
mixed_ctgan_x1.0,logistic_regression,0.9768647680365332,0.9137974331540908,0.8293665785165596,0.7626215840666976,0.9089152635937069
mixed_ctgan_x2.0,xgboost,0.9896931243317793,0.962236965770151,0.7477430735706133,0.5991020951114067,0.9944797129450731
mixed_ctgan_x2.0,random_forest,0.9912090137039903,0.9681722598517952,0.9058031959629941,0.9202506408430646,0.8918023737234336
mixed_ctgan_x2.0,logistic_regression,0.9768393396093954,0.9139939552108345,0.8297042164883575,0.7626099028227672,0.9097433066519459
mixed_ctgan_x5.0,xgboost,0.9896931243317793,0.962236965770151,0.7477430735706133,0.5991020951114067,0.9944797129450731
mixed_ctgan_x5.0,random_forest,0.9912090137039903,0.9681722598517952,0.9058031959629941,0.9202506408430646,0.8918023737234336
mixed_ctgan_x5.0,logistic_regression,0.9768393396093954,0.9139939552108345,0.8297042164883575,0.7626099028227672,0.9097433066519459
mixed_tvae_x1.0,xgboost,0.9914418714895499,0.9704574094417378,0.7932368217482595,0.6614448949502396,0.9906155120066243
mixed_tvae_x1.0,random_forest,0.9910784216188879,0.9687973051120106,0.9107366662024787,0.9190556492411467,0.902566933480541
mixed_tvae_x1.0,logistic_regression,0.9778250499557275,0.9095924365504217,0.8196958725561188,0.7282865108299378,0.9373447419265801
mixed_tvae_x2.0,xgboost,0.9912367420974032,0.9697715101142751,0.7941111357095417,0.6629088892995749,0.9900634833011317
mixed_tvae_x2.0,random_forest,0.9912700548089322,0.9688482946143159,0.9105373342637822,0.9209486166007905,0.9003588186585703
mixed_tvae_x2.0,logistic_regression,0.9777016797647293,0.9092743286480411,0.8192683810213691,0.7281115879828326,0.9365166988683411
mixed_tvae_x5.0,xgboost,0.9912367420974032,0.9697715101142751,0.7941111357095417,0.6629088892995749,0.9900634833011317
mixed_tvae_x5.0,random_forest,0.9912700548089322,0.9688482946143159,0.9105373342637822,0.9209486166007905,0.9003588186585703
mixed_tvae_x5.0,logistic_regression,0.9777016797647293,0.9092743286480411,0.8192683810213691,0.7281115879828326,0.9365166988683411
